Genus_Species,Diet Breakdown Sheet Species,Synonyms,Genus_Species_Isler,Order,Suborder,Infraorder,Parvorder,Superfamily,Family,Subfamily,Species.group,High.Quality.,Subspecies,Data.quality..ok.if._.4.individuals..at.least.2m.and.2f.in.anthropoids.,Calculation.of.ECV.species.mean,Source.of.ECV,Source.of.body.mass,ECV.male.mean,ECV.female.mean,ECV.species.mean,N.ECV.male,N.ECV.female,N.ECV.species,Body.mass.male.mean,Body.mass.female.mean,Body.mass.species.mean,N.body.mass.male,N.body.mass.female,N.body.mass.species,N_Var_Total,N_Var_Male,N_Var_Female,Sp_Var_ln_ECV,M_Var_ln_ECV,F_Var_ln_ECV,Sp_Var_ln_BoM,M_Var_ln_BoM,F_Var_ln_BoM,predict.sp.ECV,predict.sp.BoM,predict.M.ECV,predict.M.BoM,predict.F.ECV,predict.F.BoM,true.sp.ECV,true.sp.BoM,true.M.ECV,true.M.BoM,true.F.ECV,true.F.BoM,H_Ni.sp,H_Ni.M,H_Ni.F,K.sp.ECV,K.sp.BoM,K.M.ECV,K.M.BoM,K.F.ECV,K.sp.BoM.1,avg_s2.sp.ECV,avg_s2.sp.BoM,avg_s2.M.ECV,avg_s2.M.BoM,avg_s2.F.ECV,avg_s2.F.BoM,var_s2.sp.ECV,var_s2.sp.BoM,var_s2.M.ECV,var_s2.M.BoM,var_s2.F.ECV,var_s2.F.BoM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aotus_azarai,Aotus_azarai,,Aotus_azarae,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Aotidae,NA,Red-necked species group,N,NA,ok,m/f,This study,Smith and Jungers 1997,20.65,20.69,20.67,3,3,6,1180,1230,1205,4,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aotus_lemurinus,Aotus_lemurinus,Aotus hershkovitzi,Aotus_lemurinus,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Aotidae,NA,Gray-necked species group,Y,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",16.35,16.25,16.3,17,21,38,753,716,734,14,17,31,27,14,13,0.003585425,0.006176041,0.008165659,0.020269099,0.026406321,0.054670074,0.003549425,0.020295165,0.006925374,0.032658937,0.007577146,0.049369053,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.648860469,0.808370212,0.219302756,0.677346454,0.419360391,0.808370212,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aotus_trivirgatus,Aotus_trivirgatus,,Aotus_trivirgatus,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Aotidae,NA,Gray-necked species group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",17.58,16.13,16.85,6,6,12,1044,933,989,6,6,12,12,6,6,0.002022137,0.005050113,0.003038435,0.099025086,0.206267704,0.189832641,0.002841966,0.070792313,0.006932493,0.117476833,0.006200523,0.116810258,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.438767097,0.64089563,0.097506219,0.446726059,0.231320781,0.64089563,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alouatta_belzebul,Alouatta_belzebul,,Alouatta_belzebul,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Atelidae,Alouattinae,Alouatta seniculus group,N,NA,ok,m/f,This study,Smith and Jungers 1997,54.5,51.19,52.84,3,8,11,7270,5520,6395,27,26,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alouatta_caraya,Alouatta_caraya,,Alouatta_caraya,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Atelidae,Alouattinae,Alouatta caraya group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",57.46,47.8,52.63,4,5,9,6525,4240,5383,4,5,9,9,4,5,0.001901709,0.002843152,0.004763683,0.023882121,0.031850731,0.063677753,0.002909752,0.022369045,0.006874535,0.041237564,0.006688666,0.048617504,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.362478933,0.564832895,0.06087813,0.326351528,0.194033417,0.564832895,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alouatta_guariba,Alouatta_guariba,,Alouatta_guariba,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Atelidae,Alouattinae,Alouatta seniculus group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",54.32,49.08,51.7,4,3,7,5800,4550,5175,4,3,7,7,4,3,0.007621337,0.0119602,0.018525149,0.012002615,0.038156713,0.009853745,0.004720086,0.016260333,0.007429563,0.043295531,0.008374022,0.027325815,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.298949966,0.493279841,0.06087813,0.326351528,0.107440203,0.493279841,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alouatta_palliata,Alouatta_palliata,,Alouatta_palliata,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Atelidae,Alouattinae,Alouatta palliata group,N,NA,ok,m/f,This study,Smith and Jungers 1997,51.71,48.04,49.88,18,13,31,7150,5350,6250,110,177,287,4,3,1,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alouatta_pigra,Alouatta_pigra,,Alouatta_pigra,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Atelidae,Alouattinae,Alouatta palliata group,N,NA,ok,m/f,This study,Smith and Jungers 1997,53.5,48.75,51.13,4,4,8,11400,6430,8915,2,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alouatta_seniculus,Alouatta_seniculus,,Alouatta_seniculus,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Atelidae,Alouattinae,Alouatta seniculus group,Y,NA,ok,m/f,This study,Smith and Jungers 1997,56.19,54.26,55.22,19,18,37,6690,5210,5950,81,76,157,31,16,15,0.003131491,0.009004099,0.003521866,0.02234587,0.055365638,0.034017843,0.003243685,0.022015101,0.007593178,0.052566154,0.005492022,0.034290122,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.680731361,0.829566157,0.244782938,0.70779618,0.457292091,0.829566157,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ateles_belzebuth,Ateles_belzebuth,,Ateles_belzebuth,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Atelidae,Atelinae,Ateles belzebuth group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",121.29,112.75,117.02,2,8,10,7850,8484,8167,2,7,9,9,2,7,0.001622815,1.57E-05,0.006475511,0.004858744,8.11E-05,0.019353834,0.002808659,0.011624015,0.006985268,0.039430703,0.006972593,0.026095286,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.362478933,0.564832895,0.021151138,0.139032911,0.265310567,0.564832895,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
