museum,acc.no,taxon,MC1.L,MC1.BML,MC1.BDP,MC1.MSML,MC1.MSDP,MC1.HML,MC1.HDP,MC5.L,MC5.BML,MC5.BDP,MC5.MSML,MC5.MSDP,MC5.HML,MC5.HDP,PP3.L,PP3.BML,PP3.BDP,PP3.MSML,PP3.MSDP,PP3.TML,PP3.TDP,IP3.L,IP3.BML,IP3.BDP,IP3.TML,IP3.TDP
CMNH,HTH 0118,Homo_sapiens,42.72,14.13,15.37,11.52,8.47,12.6,12.12,50.22,10.53,10.03,7.79,7.06,11.12,12.03,42.8,15.8,12.5,10.42,7.58,11.34,8.2,28.91,13.34,9.9,9.77,6.52
CMNH,HTH 204,Homo_sapiens,37.78,13.11,13.49,9.15,6.77,11.5,10.01,48.2,10.77,10.68,5.66,6,10.23,10.41,39.36,13.68,10.88,8,5.85,10,6.97,25.46,11.81,8.64,8.75,5.19
CMNH,HTH 243,Homo_sapiens,41.02,13.81,14.12,10.57,7.3,12.51,11.58,47.3,11.03,10.08,6.39,5.32,11.19,10.39,41.1,15.07,11.81,9.11,6.4,10.97,7.46,27.56,12.92,9.17,8.8,5.37
CMNH,HTH 252,Homo_sapiens,44.48,15.17,16.06,10.72,8.82,11.98,11.24,49.52,10.31,10.54,7.11,5.97,10.71,10.71,42.49,14.05,11.52,9.56,6.18,10.76,7.57,28.23,12.69,8.94,8.78,5.41
CMNH,HTH 269,Homo_sapiens,42.36,14.46,15.1,10.03,6.37,12.03,10.5,48.46,8.98,9.67,6.77,5.61,9.9,10.76,42.59,15,11.19,8.89,6.37,10.66,7.93,27.63,13.69,9.95,9.52,5.82
CMNH,HTH 306,Homo_sapiens,43.7,15.86,14.89,12.18,7.93,13.06,11.86,49.2,10.25,10.23,7.78,5.88,11.07,11.16,40.16,14.83,12.34,9.2,6.78,11.89,8.37,26.67,13.14,9.42,9.33,6.08
CMNH,HTH 311,Homo_sapiens,41.5,14.15,14.23,12.24,8.25,12.86,12.86,49.5,10.39,10.09,9.41,6.89,10.42,11.19,41.64,14.83,11.46,9.93,7.34,10.33,7.09,28.46,12.67,8.98,8.28,5.19
CMNH,HTH 529,Homo_sapiens,45.6,15.18,15.28,11.44,8,13.63,12.89,55.24,10.94,9.96,7.74,5.88,11.91,10.98,48.91,15.92,12.14,9.2,6.9,11.98,8.66,30.54,13.24,9.9,9.41,6.32
CMNH,HTH 545,Homo_sapiens,46.37,16.32,15.46,11.89,7.76,13.77,12.58,52.2,11.11,10.37,7.79,6.74,12.68,11.62,46.81,16.28,12.4,10.4,6.26,11.78,8.37,32.66,14.51,10.28,9.51,6.52
CMNH,HTH 589,Homo_sapiens,47.31,15.18,15.88,10.99,8.23,12.94,12.2,56.46,10.42,11.47,7.17,6.38,11.46,10.98,47.63,15.68,12.38,9.17,7,11.36,8.32,29.87,13.39,9.44,8.75,5.92
CMNH,HTH 603,Homo_sapiens,45.84,16.1,14.34,11.24,8.28,13.06,10.86,53.73,10,11.72,7.6,6.09,11.41,10.81,44.83,15.48,11.81,9.05,7.03,11.62,7.57,29.77,13.27,9.41,9.99,6.96
CMNH,HTH 612,Homo_sapiens,40.96,13.45,13.82,9.28,6.5,12.18,11.16,49.2,8.55,10.32,5.95,4.56,9.64,10.39,42.75,13.82,10.84,8.62,5.61,9.98,7.27,27.94,12.07,8.62,7.94,5.55
CMNH,HTH 631,Homo_sapiens,39.26,14.92,13.76,11.07,7.67,13.44,11.38,48.83,10.44,11.2,7.62,5.59,11.47,11.36,44.08,15.05,11.73,9.14,6.57,11.27,8.06,28.47,13.39,9.04,9.17,6.3
CMNH,HTH 704,Homo_sapiens,45.77,16.24,14.36,12.43,8.58,14.42,12.55,52.25,10.81,10.75,8.75,6.43,11.92,11.26,46.24,15.02,11.98,9.77,6.85,11.57,8.07,29.84,12.76,9.89,9.58,6.04
CMNH,HTH 152,Homo_sapiens,45.01,15.41,15.27,10.25,8.06,13.61,13.82,52.18,11.04,10.71,7.11,6.12,11.27,11.18,44,15.3,11.81,9,6.87,11.02,8.19,28.45,13.8,10.58,8.64,6.03
CMNH,HTH 205,Homo_sapiens,49.28,17.1,17.13,12.89,8.31,13.92,11.52,56.01,10.24,11.35,8.5,6.76,11.75,11.8,48.73,16.27,12.78,11.02,7.04,11.95,8.17,27.95,14.07,10.83,10.2,5.66
CMNH,HTH 228,Homo_sapiens,46.02,15.99,14.54,13.01,8.04,13.88,12.17,53.27,11.03,10.61,8.83,7.64,11.79,11.5,46.45,16.42,12.72,10.2,7.18,11.42,8.11,28.46,13.65,9.47,8.72,5.55
CMNH,HTH 1012,Homo_sapiens,43.95,14.03,14.14,12.18,7.55,12.61,11.73,49.95,10.81,10.57,7.19,6.22,10.93,12.46,44.16,13.95,12.23,9.74,6.41,11.16,7.77,29.64,12.69,10.07,9.12,6.33
CMNH,HTH 0088,Homo_sapiens,45.63,16.87,15.78,12.25,9.14,16.25,12.79,54.96,12.1,11.57,8.44,7.02,11.87,12.62,46.75,17.04,13.28,10.67,7.47,12.35,8.97,30.74,14.34,10.24,10.06,6.57
CMNH,HTH 0096,Homo_sapiens,47.13,15.6,16.37,12.09,8.53,15.4,13.56,54.91,9.42,11.22,7.86,6.56,12.23,12.47,47.62,17.53,13,10.17,7.61,12.62,9.44,32.43,14.91,10.9,10.02,7.2
CMNH,HTH 248,Homo_sapiens,44.94,16.15,15.85,12.64,9.35,14.02,12.43,55.64,10.84,11.59,7.25,7.51,12.42,12.31,46.53,16.74,13.82,10.36,7.51,12.68,8.53,31,14.29,10.49,9.89,6.45
CMNH,HTH 263,Homo_sapiens,46.3,15.9,16.08,11.03,9.02,14.95,12.14,53.48,10.74,10.66,6.24,6.3,12.26,11.42,45.26,16.25,12.19,9.39,7.26,12.94,8.49,30.6,14.44,9.29,9.12,6.24
CMNH,HTH 287,Homo_sapiens,45.27,14.87,15.95,11.15,8.05,12.48,11.69,52.08,9.92,11.43,6.52,7.26,10.87,10.81,42.63,15.81,12.4,10.2,6.75,10.97,7.67,28.53,13.13,9.79,9.7,5.79
CMNH,HTH 385,Homo_sapiens,45.67,16.69,17.99,12.03,8.68,14.11,12.34,54.11,11.66,12.46,6.68,6.68,11.62,11.81,45.31,16.72,12.86,10.31,7.66,12.22,8.7,29.49,14.12,10.61,10.24,6.66
