Genus_Species, Ref (17) , Ref (18) , Ref (3) , Ref (35) , Ref (63) , Ref (64) , Ref (65) , Ref (66) ,Social System,Mating System
Alouatta_caraya, NA , NA , NA , NA , NA , MM and UM , MMMF ," UM, MMMF ",Polygynandry,Harem Polygyny
Alouatta_palliata, Harem , MMMF , NA , NA , NA , MM , MMMF ," UM, MMMF ",Polygynandry,Harem Polygyny
Alouatta_pigra, NA , NA , NA , NA , NA , NA , MMMF ," UM, MMMF ",Polygynandry,Harem Polygyny
Alouatta_seniculus, NA , NA , MMMF , NA , NA , MM and UM , MMMF ," UM, MMMF ",Polygynandry,Harem Polygyny
Aotus_azarai, NA , NA , NA , NA , NA , NA , NA , PL ,Pair,Monogamy
Aotus_lemurinus, NA , NA , NA , NA , NA , NA , NA , PL ,Pair,Monogamy
Aotus_trivirgatus, Mono , Mon , Mon , NA , Mono/PA , Mon , Mon , PL ,Pair,Monogamy
Arctocebus_calabarensis, NA , NA , NA , NA , NA , UM , Solitary , S ,Solitary,Spatial Polygyny
Ateles_belzebuth, NA , NA , MMMF , NA , NA , NA , MMMF , MMMF ,Polygynandry,Polygynandry
Ateles_fusciceps, NA , NA , MMMF , NA , Polygynous , NA , NA , MMMF ,Polygynandry,Polygynandry
Ateles_geoffroyi, MM , MMMF , NA , NA , NA , MM , MMMF , MMMF ,Polygynandry,Polygynandry
Ateles_paniscus, NA , NA , NA , NA , NA , MM , MMMF , MMMF ,Polygynandry,Polygynandry
Avahi_laniger, Mono , NA , NA , Pair , Solitary , Mon , Mon , PL ,Pair,Monogamy
Avahi_occidentalis, Mono , NA , NA , NA , Solitary , NA , NA , PL ,Pair,Monogamy
Brachyteles_arachnoides, NA , NA , NA , NA , NA , NA , MMMF , MMMF ,Polygynandry,Polygynandry
Hoolock_hoolock, NA , NA , Mon , NA , NA , Mon , Mon , PL ,Pair,Monogamy
Cacajao_calvus, NA , NA , NA , NA , NA , MM , Harem , NA ,Polygynandry,Harem Polygyny
Callicebus_moloch, Mono , NA , Mon , NA , Mono/PA , Mon , Mon , PL ,Pair,Monogamy
Callicebus_torquatus, NA , NA , Mon , NA , NA , Mon , Mon , NA ,Pair,Monogamy
Callimico_goeldii, Harem , NA , Mon , NA , Mono/PA , NA , NA ," PL, UM, MMMF ",Pair,Monogamy
Callithrix_argentata, NA , NA , NA , NA , NA , NA , NA ," PL, UM, MMMF ",Pair,Monogamy
Callithrix_geoffroyi, NA , NA , NA , NA , NA , NA , NA ," PL, UM, MMMF ",Pair,Monogamy
Callithrix_jacchus, Mono , PA , NA , NA , Mono/PA , NA , NA ," PL, UM, MMMF ",Pair,Polyandry
Callithrix_penicillata, NA , NA , NA , NA , NA , NA , NA ," PL, UM, MMMF ",Pair,Monogamy
Callithrix_pygmaea, Mono , NA , Mon , NA , Mono/PA , Mon and PA , Mon ," PL, UM, MMMF ",Pair,Polyandry
Cebus_albifrons, NA , NA , NA , NA , NA , NA , NA , MMMF ,Polygynandry,Polygynandry
